age,gender,height_cm,weight_kg,step_count,distance_km,workout_type,workout_duration_min,heart_rate_max,heart_rate_resting,sleep_duration_hr,sleep_quality_score,water_intake_liters,blood_pressure_systolic,blood_pressure_diastolic,stress_level,calories_consumed,protein_intake_g,carb_intake_g,fat_intake_g,calories_burned,fitness level,heart rate avg,bmi,Blood Pressure
42,male,245,130,6900,0.3,cycling,165,325,205,23.5,23.5,4.0,245,225,19.5,4600,210,400,180,680,advanced,265,30.0,245/225
37,non-binary,220,105,5900,0.25,running,140,300,180,21.0,21.0,3.5,220,200,17.0,4100,185,350,155,580,advanced,240,27.5,220/200
11,male,162,45,1500,0.33,running,15,180,48,7.1,7.1,1.45,100,60,3.5,1200,50,110,25,220,beginner,128,18.2,100/60
63,male,173,72,3600,0.36,running,55,210,80,12.0,12.0,1.8,130,100,8.8,2400,100,200,65,500,advanced,160,26.1,130/100
58,female,290,165,9000,0.38,gym,210,370,250,28.0,28.0,4.8,290,270,23.0,5400,255,500,230,840,advanced,315,34.0,290/270
75,female,161,64,2000,0.78,yoga,31,211,68,10.8,10.8,1.89,114,79,7.6,1880,88,170,54,360,advanced,149,25.1,114/79
59,male,173,72,2600,1.04,cycling,28,204,61,9.3,9.3,1.77,109,73,6.2,1720,82,160,48,320,advanced,136,23.6,109/73
12,female,165,55,2000,0.03,swimming,35,195,85,10.5,10.5,1.1,125,105,6.5,1600,75,130,45,200,intermediate,145,20.5,125/105
36,male,215,100,5700,0.24,cycling,135,295,175,20.5,20.5,3.4,215,195,16.5,4000,180,340,150,560,advanced,235,27.0,215/195
55,male,171,69,2700,1.05,cycling,27,205,61,9.2,9.2,1.79,107,71,5.7,1640,78,155,45,300,advanced,140,23.5,107/71
55,male,171,69,2700,1.05,cycling,27,205,61,9.2,9.2,1.79,107,71,5.7,1640,78,155,45,300,advanced,140,23.5,107/71
55,male,171,69,2700,1.05,cycling,27,205,61,9.2,9.2,1.79,107,71,5.7,1640,78,155,45,300,advanced,140,23.5,107/71
26,female,230,125,4200,0.17,gym,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
38,female,164,56,1900,0.51,swimming,18,190,52,8.1,8.1,1.57,102,64,4.5,1480,58,130,34,240,intermediate,130,20.5,102/64
15,male,180,70,2600,0.06,cycling,50,210,100,12.0,12.0,1.4,140,120,8.0,1900,90,160,60,260,intermediate,160,23.0,140/120
23,female,215,110,3600,0.14,gym,85,245,125,15.5,15.5,2.4,165,145,11.5,3000,130,240,100,360,advanced,185,27.5,165/145
46,non-binary,265,150,7700,0.34,running,185,345,225,25.5,25.5,4.4,265,245,21.5,5000,230,440,200,760,advanced,285,32.0,265/245
13,female,165,55,1600,0.04,running,35,195,75,10.5,10.5,1.3,115,95,6.5,1800,75,130,45,160,beginner,135,20.8,115/95
42,male,176,70,2800,1.11,gym,30,206,60,9.1,9.1,1.79,110,70,6.0,1740,80,150,48,340,advanced,138,23.4,110/70
28,female,165,55,2200,0.22,cycling,30,180,55,9.5,9.5,1.3,105,75,6.2,1900,70,140,40,250,intermediate,135,20.9,105/75
14,non-binary,175,65,2400,0.05,running,45,205,95,11.5,11.5,1.3,135,115,7.5,1800,85,150,55,240,intermediate,155,21.5,135/115
20,male,200,90,3000,0.11,gym,70,230,110,14.0,14.0,2.0,150,130,10.0,2500,110,200,80,300,beginner,170,25.9,150/130
35,male,172,68,2800,0.28,running,35,190,60,10.0,10.0,1.4,110,80,6.8,2000,80,160,45,300,advanced,140,22.7,110/80
42,female,168,62,3000,0.3,swimming,40,195,65,10.5,10.5,1.5,115,85,7.2,2100,85,170,50,350,advanced,145,23.5,115/85
59,male,169,68,2400,0.89,gym,28,204,61,9.8,9.8,1.77,109,70,5.9,1640,75,155,42,320,advanced,141,23.1,109/70
75,female,161,64,2000,0.78,yoga,31,211,68,10.8,10.8,1.89,114,79,7.6,1880,88,170,54,360,advanced,149,25.1,114/79
41,female,161,58,2200,0.69,swimming,22,200,54,8.5,8.5,1.63,108,68,5.1,1520,68,145,38,280,intermediate,134,21.2,108/68
12,male,160,50,1400,0.03,cycling,30,190,70,10.0,10.0,1.2,110,90,6.0,1700,70,120,40,140,beginner,130,20.0,110/90
82,female,160,70,2600,1.04,swimming,26,198,62,10.2,10.2,1.85,110,72,6.1,1780,79,165,50,340,advanced,145,26.1,110/72
41,non-binary,190,75,2700,1.07,running,27,203,61,9.0,9.0,1.79,108,71,5.8,1640,75,155,42,300,advanced,131,22.9,108/71
11,female,155,45,1200,0.02,gym,25,185,65,9.5,9.5,1.1,105,85,5.5,1600,65,110,35,120,beginner,125,19.2,105/85
58,female,290,165,9000,0.38,gym,210,370,250,28.0,28.0,4.8,290,270,23.0,5400,255,500,230,840,advanced,315,34.0,290/270
10,male,150,40,1000,0.01,swimming,20,180,60,9.0,9.0,1.0,100,80,5.0,1500,60,100,30,100,beginner,120,18.5,100/80
31,male,174,67,2300,0.97,gym,29,201,57,8.7,8.7,1.75,108,69,5.4,1670,75,155,45,300,advanced,135,22.9,108/69
14,male,170,60,1800,0.05,gym,40,200,80,11.0,11.0,1.4,120,100,7.0,1900,80,140,50,180,beginner,140,21.5,120/100
38,female,164,56,1900,0.51,swimming,18,190,52,8.1,8.1,1.57,102,64,4.5,1480,58,130,34,240,intermediate,130,20.5,102/64
26,female,230,125,4200,0.17,gym,100,260,140,17.0,17.0,2.7,180,160,13.0,3300,145,270,115,420,advanced,200,29.0,180/160
56,female,170,65,3400,0.34,cycling,50,205,75,11.5,11.5,1.7,125,95,8.2,2300,95,190,60,450,advanced,155,25.2,125/95
63,male,173,72,3600,0.36,running,55,210,80,12.0,12.0,1.8,130,100,8.8,2400,100,200,65,500,advanced,160,26.1,130/100
39,male,175,66,2600,0.98,gym,28,204,59,8.6,8.6,1.73,108,69,5.8,1680,72,150,44,300,advanced,139,22.8,108/69
14,non-binary,175,65,2400,0.05,running,45,205,95,11.5,11.5,1.3,135,115,7.5,1800,85,150,55,240,intermediate,155,21.5,135/115
52,male,265,140,8000,0.33,cycling,185,345,225,25.5,25.5,4.3,265,245,20.5,4900,230,440,205,740,advanced,290,31.5,265/245
14,non-binary,175,65,2400,0.05,running,45,205,95,11.5,11.5,1.3,135,115,7.5,1800,85,150,55,240,intermediate,155,21.5,135/115
52,male,265,140,8000,0.33,cycling,185,345,225,25.5,25.5,4.3,265,245,20.5,4900,230,440,205,740,advanced,290,31.5,265/245
35,male,172,68,2800,0.28,running,35,190,60,10.0,10.0,1.4,110,80,6.8,2000,80,160,45,300,advanced,140,22.7,110/80
25,non-binary,225,120,4000,0.16,running,95,255,135,16.5,16.5,2.6,175,155,12.5,3200,140,260,110,400,advanced,195,28.5,175/155
61,female,305,180,9600,0.41,gym,225,385,265,29.5,29.5,5.1,305,285,24.5,5700,270,530,245,900,advanced,330,35.5,305/285
14,non-binary,175,65,2400,0.05,running,45,205,95,11.5,11.5,1.3,135,115,7.5,1800,85,150,55,240,intermediate,155,21.5,135/115
51,male,290,175,8700,0.39,cycling,210,370,250,28.0,28.0,4.9,290,270,24.0,5500,255,490,225,860,advanced,310,34.5,290/270
39,male,175,66,2600,0.98,gym,28,204,59,8.6,8.6,1.73,108,69,5.8,1680,72,150,44,300,advanced,139,22.8,108/69
38,female,164,56,1900,0.51,swimming,18,190,52,8.1,8.1,1.57,102,64,4.5,1480,58,130,34,240,intermediate,130,20.5,102/64
63,male,173,72,3600,0.36,running,55,210,80,12.0,12.0,1.8,130,100,8.8,2400,100,200,65,500,advanced,160,26.1,130/100
91,male,165,75,2900,1.29,cycling,33,208,68,10.6,10.6,1.93,118,82,8.1,2200,95,190,60,420,advanced,155,26.1,118/82
38,female,225,110,6100,0.26,gym,145,305,185,21.5,21.5,3.6,225,205,17.5,4200,190,360,160,600,advanced,245,28.0,225/205
42,female,168,62,3000,0.3,swimming,40,195,65,10.5,10.5,1.5,115,85,7.2,2100,85,170,50,350,advanced,145,23.5,115/85
